calories,carbohydrates,cholesterol,cook_time,course,cuisine,description,fat,fiber,full_name,image_url,ingredient_count,ingredients,instructions,monounsaturated_fat,notes,polyunsaturated_fat,potassium,prep_time,protein,recipe_id,saturated_fat,serving,sodium,sugar,title
277,15,75,,Main Course,Italian,"This , is a twist on a comfort food classic. With layers of ,, rich and flavorful cottage cheese spinach filling, this lighter version of traditional lasagna has everything you'd expect from this beloved meal. The whole family is guaranteed to have dancing taste buds after the first bite. ",14,2,Delicious Cottage Cheese Lasagna with Beef and Spinach,https://ohsnapmacros.com/wp-content/uploads/2024/01/cottagecheeselasagna-300x300.jpg,21,"[{'amount': '1', 'unit': 'Tbsp.', 'name': 'olive oil', 'notes': None}, {'amount': '4', 'unit': 'cloves', 'name': 'garlic', 'notes': 'roughly chopped'}, {'amount': '1', 'unit': 'small', 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '1', 'unit': 'lb.', 'name': 'lean ground beef', 'notes': '96/4'}, {'amount': '1', 'unit': 'tsp.', 'name': 'oregano ', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'paprika', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'chili powder', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'black pepper or fresh cracked', 'notes': 'to taste'}, {'amount': '32', 'unit': 'oz.', 'name': 'jar of marinara sauce ', 'notes': '(I use Raos)'}, {'amount': '16', 'unit': 'oz.', 'name': 'low fat small curd cottage cheese', 'notes': 'Good Culture for best flavor'}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese', 'notes': 'shredded, 56g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'oregano', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper or pinch of black pepper', 'notes': None}, {'amount': '10', 'unit': 'oz.', 'name': 'frozen spinach', 'notes': 'defrosted and strained '}, {'amount': '8', 'unit': None, 'name': 'oven ready lasagna noodles', 'notes': 'Barilla'}, {'amount': '2', 'unit': 'cups', 'name': 'low moisture mozzarella cheese', 'notes': 'shredded, 224g'}]","Pre-heat the oven to 375 degrees Fahrenheit. Heat oil in a large skillet over medium heat. Add the garlic and onions to the pan and cook until nice and browned, approximately 3-5 minutes.,Add the ground beef to the pan and break into bite size pieces. Cook until fully cooked through, mixing often, approximately 5 minutes. ,Add the oregano, italian seasoning, paprika, chili powder, salt and pepper to the beef mixture and combine to evenly coat. ,Add sauce, combine and simmer while you prepare the cottage cheese filling. ,For the filling: combine the cottage cheese, eggs, parmesan cheese, oregano, Italian seasoning, salt and pepper and mix well to combine. ,Add the defrosted and strained spinach to the cottage cheese mixture and mix to combine.,Spray a 9×13 inch baking dish with non stick cooking spray. Add a dollop of the meat mixture to the bottom of the dish to lightly coat the bottom. Top with 4 noodles, the noodles are the width of the baking dish (short side) not the length. ,Top the noodles evenly with ½ cup mozzarella cheese (56g), followed by half the meat mixture. Use a spoon or spatula to evenly spread the mixture over the noodles. Top the meat mixture with half the cottage cheese filling and spread to coat the top. Repeat with 4 noodles, ½ cup cheese, remaining meat mixture, remaining cottage cheese filling and 1 cup cheese on top.,Place the baking dish on a baking sheet to catch any overflow. Cover the dish with foil, try to avoid touching the cheese on top so that it doesn’t stick to the foil. Bake for 50 minutes. ,Remove the foil and bake an additional 10-15 minutes until the cheese is melted and browned and the sauce is nice and bubbly at the edges. ,Top with freshly chopped parsley and cut into 12 equal servings and enjoy this easy lasagna recipe. ",1,"shredded, 224g",,183,30,22,43572,6,12,849,4,Cottage Cheese Lasagna
122,12,1,12,Snack,American,"This easy protein , is flavorful, great with yogurt and a easy grab and go snack. Using minimal ingredients you’ll have delicious sweet low carb granola in under 20 minutes. ",7,2,Peppermint White Chocolate Granola,https://ohsnapmacros.com/wp-content/uploads/2022/11/ohsnapmacros-80445-300x300.jpg,7,"[{'amount': '1', 'unit': 'cup', 'name': None, 'notes': '80g'}, {'amount': '2', 'unit': 'cups', 'name': None, 'notes': '34g'}, {'amount': '1', 'unit': 'scoop', 'name': None, 'notes': '31g'}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'Peppermint Extract', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '50ml'}, {'amount': '1/4', 'unit': 'cup', 'name': None, 'notes': '50ml'}, {'amount': '1/3', 'unit': 'cup', 'name': ""White Chocolate Chips (Lily's) "", 'notes': '55g'}]","Preheat the oven to 350 degrees Fahrenheit. ,Combine the oats, puffed rice and vanilla protein powder in a bowl and whisk together. ,Melt the coconut oil and add to the bowl of dry ingredients. Add the syrup, peppermint extract and stir together so everything is evenly coated. ,Spread the granola onto a parchment lined baking sheet so that there are no large clumps with a lot of spaces between the granola. This will help it dry out while baking. ,Bake for 15 minutes, remove and mix up the granola. Place back in the oven for 2-6 minutes, checking every couple minutes to ensure you do not burn the granola and remove once it is dry and crumbly. ,Sprinkle to white chocolate chips over the top and place back in the oven for 2-6 minutes, checking every couple minutes to ensure you do not burn the granola and remove once it is dry and crumbly. Let the granola cook on the baking dish so the chocolate sticks to the pieces. ,Break into chunks and enjoy your peppermint white chocolate granola! ",1,55g,1,14,5,4,18034,5,10,21,2,Peppermint White Chocolate Granola
165,30.8,9.2,10,Side Dish,American,"These , are the perfect side dish for any special occasion. Made with Greek yogurt for extra protein and fat-free half and half, these healthier mashed potatoes are fluffy and light with a rich creamy texture. Dress up this classic recipe with your favorite fixings and watch them disappear. ",3.3,2.3,Creamy Greek Yogurt Mashed Potatoes,https://ohsnapmacros.com/wp-content/uploads/2022/11/ohsnapmacros-80380-300x300.jpg,5,"[{'amount': '5', 'unit': 'lbs.', 'name': 'russet potatoes', 'notes': 'peeled and cubed'}, {'amount': '3/4', 'unit': 'cup', 'name': '0% Nonfat Fage Greek Yogurt', 'notes': '170g'}, {'amount': '1/2', 'unit': 'cup', 'name': 'fat free half and half ', 'notes': '105g'}, {'amount': '4', 'unit': 'tbsp.', 'name': 'butter', 'notes': 'cubed'}, {'amount': None, 'unit': None, 'name': 'salt and pepper to taste', 'notes': None}]","Peel the potatoes and rinse. Chop into 2-inch chunks. ,Place in a large pot of cold water, covering the potatoes completely. Bring to a boil and boil for 15-20 minutes until the potatoes are fork tender. Drain the water. ,Using a potato masher, start to mash the potatoes. Once halfway mashed, add the Greek yogurt, butter (cut into cubes) and half and half. Continue mashing and mixing until you have a smooth consistency and everything is fully combined. ,Season the potatoes with salt and pepper to taste. Serve and enjoy! ",1,,0.1,709.9,20,4.6,17704,2.1,11,13,,Greek Yogurt Mashed Potatoes
186,12,90,30,Breakfast,American,"This , is perfect for holiday mornings, lazy Sundays and meal prep. Ready in less then 30 minutes, this easy make-ahead breakfast is healthy, full of flavor and is the perfect dish to share.",7,2,Dairy Free Breakfast Casserole with Turkey Sausage,https://ohsnapmacros.com/wp-content/uploads/2022/04/dairyfreeeggcasserole-1-300x300.jpg,13,"[{'amount': '6', 'unit': None, 'name': 'Johnsonville turkey sausage links', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'medium sweet potato', 'notes': '300g, chopped with skin on'}, {'amount': '1/2', 'unit': None, 'name': 'large yellow onion', 'notes': '150g, chopped'}, {'amount': '1', 'unit': 'tsp.', 'name': 'olive oil', 'notes': None}, {'amount': '1', 'unit': 'clove', 'name': 'garlic', 'notes': 'minced'}, {'amount': '1', 'unit': 'cup', 'name': 'spinach', 'notes': 'chopped'}, {'amount': '1/4', 'unit': 'cup', 'name': 'water', 'notes': None}, {'amount': '16', 'unit': 'oz.', 'name': 'liquid egg whites', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'unsweetened almond milk', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': '\xa0paprika', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'cayenne pepper ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'dash of salt and pepper', 'notes': None}]","Pre-heat oven to 375 degrees Fahrenheit. Spray a 9×13 inch baking dish with nonstick spray and set aside.,Prep your veggies: chop sweet potato into bite-sized pieces, chop onion and mince garlic.,Heat a pan over medium heat. Add 1 tsp. olive oil until hot. Add garlic and sauté until fragrant. ,Add onions, sweet potatoes and 1/4 cup of water. Sauté until the potato begins to soften. Approximately 10 mins.,While the potatoes cook, chop turkey sausage and spinach into bite-sized pieces. Add sausage and spinach to the potatoes and mix until the spinach has wilted.,In a large bowl, mix eggs, egg whites, almond milk, paprika, cayenne. Be sure to scramble the yolks.,Place the potato mixture in the greased baking dish and top with the egg mixture. Sprinkle with a dash of salt and pepper.,Place in the oven for 25-30 minutes until the eggs have fully cooked. Note, bake times will vary from oven to oven. Check that your eggs are done. Serve your casserole hot.",2,,1,206,15,16,19129,2,6,396,5,Dairy Free Egg Casserole
231,33.5,14.7,50,Side Dish,American,"A lightened up version of Mom’s famous, delicious and easy ,It's buttery and moist with the added twist of protein-packed bread for a healthy stuffing recipe that will be a favorite for years to come. ",7.6,3.6,Holiday Stuffing using Dave’s Killer White Bread,https://ohsnapmacros.com/wp-content/uploads/2022/11/ohsnapmacros-80368-300x300.jpg,15,"[{'amount': '1', 'unit': 'package', 'name': ""Dave's Killer White Bread Done Right Thin-Sliced"", 'notes': '21 slices'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'unsalted butter', 'notes': None}, {'amount': '2', 'unit': None, 'name': 'garlic cloves', 'notes': 'minced'}, {'amount': '1', 'unit': None, 'name': 'yellow onion', 'notes': 'chopped'}, {'amount': '2', 'unit': None, 'name': 'celery stalks', 'notes': 'chopped'}, {'amount': '8', 'unit': 'oz.', 'name': 'sliced baby bella mushrooms', 'notes': None}, {'amount': '1/3', 'unit': 'cup ', 'name': 'chicken stock ', 'notes': 'used at different times'}, {'amount': '2', 'unit': 'cups', 'name': 'chicken stock', 'notes': 'used at different times'}, {'amount': '2', 'unit': None, 'name': 'eggs', 'notes': None}, {'amount': '3/4', 'unit': 'cup', 'name': 'shredded parmesan cheese', 'notes': None}, {'amount': '1', 'unit': 'jar', 'name': 'whole artichoke hearts (9.9oz jar)', 'notes': 'drained and chopped'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'poultry seasoning', 'notes': None}, {'amount': '1/4', 'unit': 'tsp.', 'name': 'dried rosemary', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper to taste', 'notes': None}]","Preheat oven to 350 degrees Fahrenheit.,Slice the bread into bite-sized chunks, leaving the crust on. Place on a baking sheet. You may need to use two. ,Bake for 15 minutes. Shake the baking sheet and place back in the oven for 10 minutes. ,While the bread bakes, add 2 tbsp. of butter to a large saute pan over medium heat. Once melted, add garlic, onion, and mushrooms. Cook on medium-high heat stirring often for approximately 15-20 minutes or until the mixture is golden brown.,Add 1/3 cup chicken stock to the mushrooms mixture. Using a wooden spoon, scrape all the browned bits from the bottom of the pan.,Add the stock and mushroom mixture to a large mixing bowl. Add the dried bread cubes, cheese, seasonings and chopped artichoke hearts. Toss to evenly mix. ,In a separate bowl, whisk together to remaining 2 cups of chicken stock and 2 eggs. Pour on top of the stuffing mixture. Mix together to get everything evenly coated with the broth mixture. ,Place the stuffing in a 9×9 or 8×8 casserole dish. Bake, covered with foil, for 30 minutes at 350 degrees Fahrenheit. Uncover and bake an additional 20 minutes. Cooking time will vary depending on size of pan. Serve and enjoy!",1.7,,0.1,83.8,25,9.8,17636,2.6,10,435,5.8,Holiday Stuffing
422,39,49,15,Main Course,"American, Italian","This , is a dream come true on a busy night. An easy, high-protein recipe that tastes like a classic lasagna but requires no layering or baking. Loaded with protein, Italian flavors and simple ingredients, this delicious deconstructed lasagna is a weeknight favorite. ",15,2,Lazy Lasagna Skillet with Ground Beef (No Raviolis),https://ohsnapmacros.com/wp-content/uploads/2021/10/Lazylasagna-16-300x300.jpg,15,"[{'amount': '1', 'unit': 'lbs.', 'name': 'lean ground beef ', 'notes': '96/4'}, {'amount': '1', 'unit': 'small', 'name': 'white onion, chopped ', 'notes': '100g'}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'minced garlic', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'salt', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'black pepper', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'Italian seasoning', 'notes': None}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'dried basil', 'notes': None}, {'amount': '4', 'unit': 'cups', 'name': 'tomato basil pasta sauce ', 'notes': ""32oz. (I like Rao's)""}, {'amount': '1/2', 'unit': 'cup', 'name': 'beef broth ', 'notes': 'low sodium'}, {'amount': '8', 'unit': 'oz.', 'name': 'rigatoni noodles ', 'notes': 'measured uncooked'}, {'amount': '4', 'unit': 'oz.', 'name': 'low moisture part skim mozzarella cheese', 'notes': 'shredded'}, {'amount': '4', 'unit': 'oz.', 'name': 'part skim ricotta cheese', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh chopped basil ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'parmesan cheese', 'notes': None}, {'amount': None, 'unit': None, 'name': 'additional ricotta cheese', 'notes': None}]","Bring a pot of water to a boil for cooking the pasta according to the directions on the box.,While waiting on the water to boil, heat a large pan over medium heat and brown the ground beef while breaking into bite size pieces.,When the meat is almost completely cooked through, stir in the chopped onion, garlic, salt, pepper, Italian seasoning and dried basil. Cook until fragrant and the onions are beginning to soften, approximately 3-5 minutes.,Stir in the marinara sauce and beef broth and set to simmer while you cook the pasta noodles. Add the uncooked pasta to boiling water and boil according to the box instructions (about 13 minutes).,Once pasta is cooked, drain and add to the pan with the meat sauce. Let simmer for 2-3 minutes while mixing the noodles in well to fully combine.,Add the mozzarella and stir together until fully melted. While the lasagna is still hot add the ricotta cheese on top and slightly mix throughout the dish.,Top with freshly chopped basil, parmesan cheese and enjoy.",,,,389,15,31,19365,,6,244,1,Lazy Lasagna
159,20,14,20,Side Dish,American,"This , has air-fried onions, a homemade mushroom cream sauce, crisp green beans and parmesan cheese for a flavorful and lighter alternative to typical green bean casseroles. ",5,3,Fresh Green Bean Casserole with Air Fried Crispy Onions,https://ohsnapmacros.com/wp-content/uploads/2022/11/ohsnapmacros-80398-300x300.jpg,16,"[{'amount': '1', 'unit': None, 'name': 'yellow onion ', 'notes': 'sliced thin'}, {'amount': '1', 'unit': 'cup', 'name': 'fat free half and half', 'notes': None}, {'amount': '1/4', 'unit': 'cup', 'name': 'all-purpose flour', 'notes': None}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'tapioca flour', 'notes': 'or cornstarch '}, {'amount': '1', 'unit': 'tsp. ', 'name': 'cajun seasoning', 'notes': None}, {'amount': '1', 'unit': 'lbs.', 'name': 'fresh green beans', 'notes': 'trimmed'}, {'amount': '2', 'unit': 'Tbsp. ', 'name': 'butter', 'notes': None}, {'amount': '8', 'unit': 'oz.', 'name': 'baby bella mushrooms', 'notes': 'sliced'}, {'amount': '2', 'unit': None, 'name': 'garlic cloves', 'notes': 'minced'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'tapioca flour', 'notes': 'or 1 Tbsp. cornstarch '}, {'amount': '1', 'unit': 'cup', 'name': 'chicken broth ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'fat-free half and half', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'worcestershire sauce', 'notes': None}, {'amount': '2', 'unit': 'tsp. ', 'name': 'salt', 'notes': 'add more to taste'}, {'amount': None, 'unit': None, 'name': 'fresh cracked black pepper ', 'notes': None}, {'amount': '1/2', 'unit': 'cup', 'name': 'parmesan cheese, shredded', 'notes': '56g'}]","Preheat your air fryer. ,Slice one full yellow onion into thin slices. ,Place them in a bowl with 1 cup of fat-free half and half and let them sit while you prep your air fryer and trim your beans (approximately 5-10 minutes). ,Transfer the onions to a zip lock bag pre-loaded with flour, tapioca flour and cajun seasoning. Shake until completely covered. ,Remove half the onions and place them in the air fryer pan. Air fry at 370 degrees Fahrenheit for 8-10 minutes until crispy, shaking half way through to separate the onions, be careful not to burn. Set aside for later. This half will go in the casserole mixture. ,Add 1/4 cup of panko breadcrumbs to the bag with the remaining half of the onions and shake. ,Air fry at 370 degrees Fahrenheit for 8-10 minutes until crispy, shaking half way through cooking to separate the onions. Set aside for later. This half will go on top of the casserole. ,Preheat the oven to 400 degrees Fahrenheit. ,Bring a large pot of water to a rolling boil over high heat and add the green beans. Cook for 5 minutes until bright green, drain and transfer to a bowl of ice water to stop the cooking. ,In the same pan you cooked the green beans, add 2 Tbsp. butter over medium heat. Once melted, add the minced garlic and mushrooms. Cook over medium to medium-high for 5 minutes until the mushrooms are dark brown and soft.,Once soft and browned, add 2 Tbsp. tapioca flour and mix to fully coat the mushrooms. The tapioca will thicken your sauce. ,Add chicken broth, half and half, worcestershire sauce, salt and pepper. Simmer the sauce until it thickens, approximately 5-8 minutes, stirring often so it does not burn. ,Using a slotted spoon, remove the green beans from the ice bath and add to the homemade sauce. Add the first batch of onions and stir everything to fully combine everything. ,Add the green bean mixture to a 9 x 13 baking dish, top with parmesan cheese and bake uncovered for 10 minutes. ,Remove, add the second batch of onions and cook for an additional 10 minutes uncovered. The casserole is done when the sauce is bubbly and the cheese is melted. ,Remove from the oven and serve immediately for the crunchiest onions. ",1,56g,,109,30,8,17799,3,8,825,2,Green Bean Casserole
171,17.3,3.1,2,Salad,American,"The perfect , for the holidays. This salad has just the right amount of crisp and crunch, it is full of flavors and topped with a creamy maple balsamic vinaigrette that could be used on any salad. ",10.7,4.1,Shaved Brussels Sprout Salad,https://ohsnapmacros.com/wp-content/uploads/2022/11/ohsnapmacros-80411-300x300.jpg,14,"[{'amount': '1', 'unit': 'lbs.', 'name': 'fresh brussels sprouts', 'notes': None}, {'amount': '1/2', 'unit': None, 'name': 'pear', 'notes': '4 oz.'}, {'amount': '1/2', 'unit': None, 'name': 'fuji apple ', 'notes': '3 oz.'}, {'amount': '1/2', 'unit': 'cup', 'name': 'pomegranate seeds ', 'notes': None}, {'amount': '1', 'unit': 'oz.', 'name': 'queso fresco', 'notes': 'crumbled '}, {'amount': '1/4', 'unit': 'cup', 'name': 'dried cranberries', 'notes': '40g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'chopped pecans', 'notes': '30g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'balsamic vinegar ', 'notes': '57g'}, {'amount': '1/4', 'unit': 'cup', 'name': 'olive oil', 'notes': '55g'}, {'amount': '2', 'unit': 'tbsp.', 'name': None, 'notes': '30ml'}, {'amount': '1', 'unit': 'tsp.', 'name': 'dijon mustard ', 'notes': '15ml'}, {'amount': None, 'unit': None, 'name': 'lemon juice ', 'notes': '10ml'}, {'amount': None, 'unit': None, 'name': 'pinch of salt ', 'notes': None}, {'amount': None, 'unit': None, 'name': 'fresh cracked pepper', 'notes': None}]","Add all vinaigrette ingredients to a mason jar, salad dressing container or container with a lid. Shake to combine and set aside. This can be made up to two weeks (!!) ahead of time, store in the refrigerator until ready to use. ,Remove any loose, broken or wilted leaves, cut off the ends and cut the brussels sprouts in half. Then using a sharp knife cut into shreds. Add the brussels to a large bowl. ,Chop the apple and pear into bite size pieces and save a few sliced for on top. Add to the bowl with the shaved brussels sprouts. ,Add dried cranberries, raw or toasted pecans, crumble queso fresco and top with the vinaigrette. Mix to combine and serve. ",6.5,,1.5,298.8,15,3.1,17867,1.8,8,64.8,10.5,Shaved Brussels Sprout Salad
202,12,29,15,Dessert,American,"The perfect holiday dessert is here with these mini ,. Creamy and decadent with peppermint flavor and an Oreo crust, these mini cheesecakes are made with Greek yogurt but still rich and indulgent. ",12,1,Mini Greek Yogurt Peppermint Cheesecakes with Oreo Crust,https://ohsnapmacros.com/wp-content/uploads/2023/12/oreopeppermmintcheesecakes-300x300.jpg,12,"[{'amount': '5.5 ', 'unit': 'oz.', 'name': 'oreo cookies', 'notes': '18 cookies'}, {'amount': '1/4', 'unit': 'cup', 'name': 'coconut oil', 'notes': 'melted'}, {'amount': '8', 'unit': 'oz.', 'name': 'less fat cream cheese', 'notes': 'softened'}, {'amount': '1/3', 'unit': 'cup', 'name': 'granulated sugar', 'notes': '74g (or sugar substitute) '}, {'amount': '1/2', 'unit': 'cup', 'name': None, 'notes': '112g'}, {'amount': '1/2', 'unit': 'tsp.', 'name': 'vanilla extract', 'notes': None}, {'amount': '1', 'unit': 'tsp.', 'name': 'peppermint extract', 'notes': None}, {'amount': '1/2', 'unit': 'Tbsp.', 'name': 'all-purpose flour', 'notes': None}, {'amount': '1', 'unit': None, 'name': 'egg', 'notes': None}, {'amount': None, 'unit': None, 'name': 'whipped cream', 'notes': None}, {'amount': None, 'unit': None, 'name': 'crushed oreo cookies', 'notes': None}, {'amount': None, 'unit': None, 'name': 'crushed peppermints ', 'notes': None}]","Preheat the oven to 325 degrees Fahrenheit and line a muffin tin with cupcake liners and spray with nonstick spray. ,Remove the cream from the Oreos so you just have dry cookies. ,In a food processor, crumble the oreo cookies until well crushed and you have a bowl of fine crumbs. Pour in the melted coconut oil or melted butter and pulse to combine. The mixture should resemble wet sand.  ,Using a 1 ½ Tablespoon cookie scoop, place a ¾ scoop full of cookie crust in each liner in the muffin pan and press firmly into the bottom.  Bake for 6-10 minutes or until the edges begin to brown. Allow to cool while making the cheesecake filling. ,To make the cheesecake filling, in a large bowl beat the less-fat cream cheese and sugar until light and fluffy with a hand or electric mixer, about 3-5 minutes. The sugar should not be grainy at this point but well incorporated into the cream cheese.  ,Mix in the greek yogurt, vanilla extract, peppermint extract and flour until incorporated.  ,Slowly beat in the large egg, just until combined. Do not overmix your cheesecake batter.  ,Place 3/4 scoop of the cheesecake filling in each prepared and cooled crust using the cookie scoop. Evenly distribute the filling between all 12 muffin tins. ,Bake cheesecakes for 12-15 minutes or until the edges are set and the middle slightly wobbles.  ,Allow the mini cupcakes to cool to room temperature, cover with plastic wrap, and refrigerate for 4 hours or overnight for best results.  ,When ready to serve, remove from the baking pan, top with whipped topping, crushed peppermint candies, crushed Oreo cookies, and serve. ",2,,1,49,10,3,41858,8,12,153,14,Peppermint Cheesecakes
125,15,4,,Dessert,American,"If you're a fan of biscoff cookies then these melt in your mouth , are a holiday season must. This no-bake dessert is made with dark chocolate, biscoff cookie crumbs and protein powder for a boost of energy. With just a few simple ingredients you can have your cookie butter truffles… and eat them too. ",6,,No-Bake Biscoff Cookie Truffles (with added protein),https://ohsnapmacros.com/wp-content/uploads/2023/10/biscofftruffles-300x300.jpg,7,"[{'amount': '1', 'unit': 'cup', 'name': 'biscoff cookie crumbs', 'notes': '10 cookies'}, {'amount': '4', 'unit': 'Tbsp.', 'name': 'cookie butter', 'notes': '60g'}, {'amount': '1', 'unit': 'scoop', 'name': None, 'notes': '31g'}, {'amount': '2', 'unit': 'Tbsp.', 'name': 'honey', 'notes': None}, {'amount': '1-2', 'unit': 'Tbsp.', 'name': 'almond milk', 'notes': 'see note'}, {'amount': '1/3', 'unit': 'cup', 'name': 'melted dark chocolate ', 'notes': None}, {'amount': '1', 'unit': 'Tbsp.', 'name': 'coconut oil', 'notes': None}]","Crush the Biscoff cookies in a food processor or place them in a ziplock bag and roll over them with a rolling pin until finely crushed.,In a mixing bowl, combine the Biscoff cookie crumbs, Biscoff cookie butter, protein powder, and honey. Mix until everything is well combined. If the mixture seems too dry, add a tablespoon of almond milk at a time until it becomes a moldable consistency. ,Using a 1 Tbsp. cookie scoop, form the mixture into small balls (about 1 inch in diameter or 17 grams each). Place them on a plate lined with parchment paper. Place in the freezer for 30-60 minutes to harden prior to coating in chocolate. ,Add the dark chocolate and coconut oil to a small bowl microwave-safe bowl and melt in 20-second intervals, stirring between each interval, until fully melted.,Dip each truffle into the melted chocolate using a fork or spoon, ensuring they are fully coated. Place them back onto the parchment paper.,Add crushed cookie crumbs on top and place in the refrigerator to set for at least 1 hour. ",,,,29,10,3,37351,2,12,30,10,Biscoff Cookie Truffles
